101-Order Filter Coefficients (16-bit Signed)
-14
9
0
-10
19
-24
23
-15
0
19
-38
50
-49
32
0
-40
78
-101
97
-62
0
77
-146
186
-178
113
0
-136
257
-325
308
-195
0
234
-444
564
-538
343
0
-424
824
-1076
1065
-713
0
1020
-2227
3450
-4502
5213
27320
5213
-4502
3450
-2227
1020
0
-713
1065
-1076
824
-424
0
343
-538
564
-444
234
0
-195
308
-325
257
-136
0
113
-178
186
-146
77
0
-62
97
-101
78
-40
0
32
-49
50
-38
19
0
-15
23
-24
19
-10
0
9
-14
